year,maker,model,color,trans,drivet,mileage,price,body_code
2013,Jaguar,XJ Base,Gray,Automatic,RWD,43716,21498,20211
2017,Subaru,WRX Base,Black,Manual,AWD,46912,19991,20211
2017,Audi,A4 2.0T Premium Plus,Black,Automatic,FWD,53439,23888,20211
2013,Honda,Accord LX,Blue,CVT,FWD,78233,11491,20211
2014,Honda,Accord Sport,Red,CVT,FWD,111941,12999,20211
2016,Mercedes-Benz,CLS 400,Black,Automatic,RWD,56487,32500,20211
2017,Genesis,G80 3.8,White,Automatic,RWD,11727,28900,20211
2016,Nissan,Altima 2.5 SR,Black,CVT,FWD,30932,15630,20211
2018,Mercedes-Benz,C 300,White,Automatic,RWD,12530,30200,20211
2014,Hyundai,Sonata Hybrid Limited,Gray,Automatic,FWD,95417,11194,20211
2018,Dodge,Charger R/T,White,Automatic,RWD,49480,23900,20211
2018,Genesis,G80 5.0L Ultimate,Black,Automatic,RWD,16713,39600,20211
2019,Volkswagen,Jetta 1.4T S,White,Automatic,FWD,7181,17810,20211
2017,Audi,A4 2.0T Premium,White,Automatic,FWD,28010,25000,20211
2017,Kia,K900 5.0L,White,Automatic,RWD,9650,31995,20211
2016,Hyundai,Sonata SE,Black,Automatic,FWD,47396,11888,20211
2018,Chevrolet,Malibu LT,Silver,Automatic,FWD,47948,14874,20211
2015,BMW,750 i,White,Automatic,RWD,46000,33995,20211
2015,Mercedes-Benz,CLA 250,Black,Automatic,FWD,38820,18995,20211
2012,Mercedes-Benz,S65 AMG,Black,Automatic,RWD,57732,44995,20211
2016,Audi,A4 2.0T Premium,White,CVT,FWD,22035,19300,20211
2016,BMW,535 i,Black,Automatic,RWD,41163,24995,20211
2016,BMW,740 i,Gray,Automatic,RWD,49192,33500,20211
2016,Maserati,Ghibli S,Black,Automatic,RWD,24231,33457,20211
2014,Mercedes-Benz,CLA250,Silver,Automanual,FWD,63549,16991,20211
2015,Mercedes-Benz,S 550,Black,Automatic,RWD,83335,38795,20211
2017,Nissan,Sentra SV,Other,CVT,FWD,84762,9899,20211
2017,Hyundai,Elantra SE,Silver,Automatic,FWD,76884,9749,20211
2016,BMW,328 i,Silver,Automatic,RWD,22420,24982,20211
2016,BMW,330e Base,Gray,Automatic,RWD,26471,26293,20211
2014,Lexus,IS 250 Base,Black,Automatic,AWD,42608,21700,20211
2014,Mercedes-Benz,CLS 550 4MATIC,Blue,Automatic,AWD,40642,28600,20211
2017,Audi,A4 2.0T ultra Premium,Black,Automatic,FWD,16033,26500,20211
2017,BMW,M6 Base,Blue,Other,Unknown,12294,65595,20211
2011,BMW,328 i,Blue,Automatic,RWD,84410,9301,20211
2016,BMW,340 i,Black,Automatic,RWD,51170,24595,20211
2017,Honda,Civic EX,White,CVT,FWD,28991,18598,20211
2016,Audi,A6 3.0T Prestige,Blue,Automatic,AWD,7822,37166,20211
2014,Audi,S4 3.0T Premium Plus,Silver,Manual,AWD,62940,26458,20211
2016,Honda,Civic LX,White,CVT,FWD,32563,15263,20211
2019,Mercedes-Benz,E 300,White,Automatic,RWD,9435,47588,20211
2013,Lexus,GS 350 Base,Black,Automatic,RWD,46137,23995,20211
2017,Toyota,Camry SE,Gray,Automatic,FWD,57752,16981,20211
2018,Cadillac,ATS 2.0L Turbo Luxury,Gray,Automatic,RWD,5231,27750,20211
2012,BMW,328 i,White,Automatic,RWD,92831,10667,20211
2016,Hyundai,Sonata SE,Blue,Automatic,FWD,57637,11999,20211
2017,Honda,Accord LX,White,CVT,FWD,37018,16450,20211
2017,Mazda,Mazda3 Touring,Black,Automatic,FWD,32188,13350,20211
2018,Honda,Civic EX,White,CVT,FWD,25380,18150,20211
2013,Audi,A4 2.0T Premium Plus,Black,Automatic,AWD,83737,12999,20211
2013,Mercedes-Benz,C 250,Blue,Automatic,RWD,59713,15998,20211
2017,Mercedes-Benz,E 300,White,Automatic,RWD,44075,33982,20211
2016,Cadillac,CTS 2.0L Turbo Luxury,White,Automatic,RWD,31438,22880,20211
2017,Cadillac,CTS 2.0L Turbo Luxury,Red,Automatic,RWD,29537,25998,20211
2018,Hyundai,Elantra SEL,White,Automatic,FWD,21001,13400,20211
2014,Ford,Fusion Hybrid Titanium,White,CVT,FWD,68786,12400,20211
2016,Honda,Accord EX-L,White,CVT,FWD,26491,19183,20211
2015,INFINITI,Q50 Premium,Gray,Automatic,RWD,45435,18981,20211
2015,BMW,640 Gran Coupe i,Black,Automatic,RWD,25719,35998,20211
2016,Cadillac,ATS-V Base,White,Automatic,RWD,37312,40998,20211
2018,Cadillac,CT6 2.0L Turbo Luxury,Black,Automatic,RWD,10505,40700,20211
2016,Lexus,IS 350 Base,Gray,Automatic,AWD,15139,33460,20211
2017,Acura,TLX V6 w/Technology Package,White,Automatic,FWD,25308,26730,20211
2016,Mercedes-Benz,C 300,White,Automatic,RWD,42797,24480,20211
2016,BMW,328 i,Blue,Automatic,RWD,84133,16500,20211
2015,Mercedes-Benz,S 550,Black,Automatic,RWD,43919,47500,20211
2014,BMW,320 i,Black,Automatic,RWD,67000,12469,20211
2017,Chevrolet,Impala 1LT,Silver,Automatic,FWD,38838,15999,20211
2014,Volvo,S60 T5 Premier,Black,Automatic,FWD,28243,16998,20211
2016,Lexus,GS 200t GS 200t Sedan 4D,Gray,Automatic,RWD,28173,26989,20211
2018,Honda,Accord LX,Beige,CVT,FWD,4909,21999,20211
2018,Honda,Accord LX,Silver,CVT,FWD,5726,21999,20211
2016,Mercedes-Benz,C 300,Black,Automatic,AWD,19606,26981,20211
2015,BMW,328 i,White,Other,Unknown,59784,18995,20211
2014,Mercedes-Benz,CLA 250,White,Automatic,FWD,114947,16998,20211
